,author,comments,date,heading
0,Attila Tóth,0 Comment,"October 15, 2019",Turn Web Content Into Useful Data
1,Attila Tóth,0 Comment,"October 10, 2019",Scrapy & AutoExtract API integration
2,Attila Tóth,0 Comment,"October 08, 2019",Web Scraping Questions & Answers Part I
3,Attila Tóth,0 Comment,"September 26, 2019","Price intelligence with Python: Scrapy, SQL and Pandas"
4,Attila Tóth,1 Comment,"September 17, 2019",The Web Data Extraction Summit 2019
5,Marie Moynihan,0 Comment,"September 12, 2019",News Data Extraction at Scale with AI powered AutoExtract
6,Marie Moynihan,0 Comment,"September 05, 2019",Gain a Competitive Edge with Product Data
7,Marie Moynihan,0 Comment,"August 29, 2019",Four Use Cases for Online Public Sentiment Data
8,Attila Tóth,0 Comment,"August 22, 2019",The First-Ever Web Data Extraction Summit!
9,Attila Tóth,1 Comment,"August 08, 2019",How to use proxies with Python Requests module
